edition_id,subedition_id,circ,floor_usd
a61f2313-932a-491d-a48d-99e5e5a5d6bb+36d8f2e6-d8be-4047-9623-7a21987ff382,0,124,290
af76a5f7-dde3-493d-a20f-1e4d1feeb0e3+34d33078-d5e2-418f-83e5-73179cfd427a,19,25,32
af76a5f7-dde3-493d-a20f-1e4d1feeb0e3+34d33078-d5e2-418f-83e5-73179cfd427a,20,10,99
af76a5f7-dde3-493d-a20f-1e4d1feeb0e3+34d33078-d5e2-418f-83e5-73179cfd427a,0,249,15
b32d535a-8e69-401d-a303-872b84c9f77b+f9f29d5d-60c1-4456-b9d1-a66b1dc842de,0,83,250
b3b14e51-1e73-41c9-9987-d8b40a96fbc3+3e0b605b-7041-43f0-80cc-6d1aee66ee55,0,17,2999
b3b14e51-1e73-41c9-9987-d8b40a96fbc3+952fee4f-ebd1-480d-83ff-a6a11b57d906,0,49,210
be262106-4b76-43b1-833c-bbbc0973d7cc+37451a6f-14f0-4dfd-95b3-670e4474ba8a,0,243,16.99
c561f66b-5bd8-451c-8686-156073c3fb69+092685e0-8636-459d-a9d0-9a6c2ce150e6,0,49,2199
c561f66b-5bd8-451c-8686-156073c3fb69+45c2c7f0-c0f1-4ab8-8d5c-b836dfce41a5,0,48,575
c561f66b-5bd8-451c-8686-156073c3fb69+46b46192-21f7-4b69-bf9c-b70eec06f83d,0,49,3249
c561f66b-5bd8-451c-8686-156073c3fb69+60695463-d3b5-481b-a214-4a81707523be,0,49,1999
c561f66b-5bd8-451c-8686-156073c3fb69+819762b5-ca6c-4a5c-83d5-e60a30322e52,0,49,599
c561f66b-5bd8-451c-8686-156073c3fb69+99bd66dc-3ea3-4333-8fb3-b46c24b688e1,0,48,750
c561f66b-5bd8-451c-8686-156073c3fb69+a9dc398e-c76e-4c8f-ac52-b999222d4110,0,49,750
c561f66b-5bd8-451c-8686-156073c3fb69+abd4da56-b32e-4b41-baac-728a147a6e73,0,49,2050
c561f66b-5bd8-451c-8686-156073c3fb69+c8ad129e-a803-4400-9025-2c4209bd2ed4,0,49,345
c561f66b-5bd8-451c-8686-156073c3fb69+d012e87f-7aec-4f5d-969b-2af03890ab4f,0,49,700
c561f66b-5bd8-451c-8686-156073c3fb69+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,0,49,25000
c561f66b-5bd8-451c-8686-156073c3fb69+de73b804-79ee-42b6-b042-aae1a47b7bec,0,49,3500
c561f66b-5bd8-451c-8686-156073c3fb69+e2c09c0f-e04b-45db-9f5f-7cd0e6c5ed2b,0,49,2800
c561f66b-5bd8-451c-8686-156073c3fb69+e48cf01d-0343-48fd-a4ae-c789633cba11,0,49,1800
c561f66b-5bd8-451c-8686-156073c3fb69+ecac4cfb-38ad-4911-8e2d-1018fe603d6e,0,49,699
c561f66b-5bd8-451c-8686-156073c3fb69+f2a3c763-f7ff-4342-a209-44a34cdf1d02,0,49,790
c5bfe017-9705-470a-85d3-ff0bf507368d+c5c8ec57-07fe-41b2-8759-4235909dd4a1,0,364,6
cd14cc9f-1bef-49c6-8aed-ae479646c0fa+379fc49a-2f5e-4e70-9d8e-7f7a38f69951,0,21,4999
cd14cc9f-1bef-49c6-8aed-ae479646c0fa+7b39c6eb-d164-492a-afeb-381ad0d90b8c,0,31,950
cd14cc9f-1bef-49c6-8aed-ae479646c0fa+e10ef594-5d4a-47e5-834a-b87d177770a1,0,26,699
cd14cc9f-1bef-49c6-8aed-ae479646c0fa+f8333c78-b859-4bfc-8527-3ab5eb3c81d7,0,36,588
d3bc322c-f30b-482a-80d7-67ea45deebca+debb5119-efc3-45bd-81d3-5135cd7950d4,0,72,1000
d61a0227-0817-42a6-a449-089d5cab6956+5870ecf5-ab47-41ac-ace3-ed0a20e5041e,21,5,225
d61a0227-0817-42a6-a449-089d5cab6956+5870ecf5-ab47-41ac-ace3-ed0a20e5041e,22,1,
d61a0227-0817-42a6-a449-089d5cab6956+5870ecf5-ab47-41ac-ace3-ed0a20e5041e,0,44,70
ddfe1fcb-c3f5-449f-b645-5fc4d308cc64+2206c87e-e4cc-44a4-bc87-e25db87d2a4c,0,50,245
ddfe1fcb-c3f5-449f-b645-5fc4d308cc64+36833a7b-17a1-4b73-b232-77258afd6eab,0,96,72
ddfe1fcb-c3f5-449f-b645-5fc4d308cc64+66a335ac-ed84-410f-8610-dc458879a778,0,61,1150
ddfe1fcb-c3f5-449f-b645-5fc4d308cc64+85aab9b8-0b4d-493a-9adc-61e2685e2035,0,67,777
